Kernel name,start,end,duration
1020,392236975,401164207,8927232
1025,401165647,401586739,421092
1026,401588147,406088003,4499856
1024,406089380,406241349,151969
1020,406242661,408247067,2004406
1059,408248602,408254555,5953
1061,408255931,408466013,210082
1023,408467325,409634697,1167372
1020,409636074,410976184,1340110
1024,410977592,411130713,153121
1020,411132153,420060409,8928256
1025,420061881,420482174,420293
1026,420484190,424984398,4500208
1024,424986158,425138160,152002
1020,425140368,427144069,2003701
1059,427145765,427151653,5888
1061,427153093,427362952,209859
1023,427364616,428546068,1181452
1020,428547508,429887555,1340047
1024,429888963,430041604,152641
1020,430042980,438972452,8929472
1025,438974116,439395688,421572
1026,439397161,443897305,4500144
1024,443898937,444051131,152194
1020,444052763,446057104,2004341
1059,446058512,446064464,5952
1061,446065904,446276915,211011
1023,446278258,447452159,1173901
1020,447453919,448793710,1339791
1024,448795213,448948591,153378
1020,448949999,457880431,8930432
1025,457881903,458303795,421892
1026,458305491,462805636,4500145
1024,462806979,462960037,153058
1020,462961349,464965115,2003766
1059,464966491,464972571,6080
1061,464974267,465184893,210626
1023,465186333,466368042,1181709
1020,466369770,467709496,1339726
1024,467711160,467866042,154882
1020,467867450,476796410,8928960
1025,476797722,477218270,420548
1026,477219582,481719759,4500177
1024,481721391,481875152,153761
1020,481876560,483880678,2004118
1059,483882214,483888134,5920
1061,483889542,484099848,210306
1023,484101544,485265781,1164237
1020,485267188,486607139,1339951
1024,486608579,486760549,151970
1020,486762244,495691044,8928800
1025,495692708,496116361,423653
1026,496117737,500618041,4500304
1024,500619705,500773371,153666
1020,500774843,502780176,2005333
1059,502781872,502787760,5888
1061,502789200,502999347,210147
1023,503001010,504170655,1169645
1020,504172159,505512206,1340047
1024,505513997,505667023,153026
1020,505668367,514595695,8927328
1025,514597327,515015379,418052
1026,515017556,519517572,4500016
1024,519519203,519672165,152962
1020,519673734,521677723,2003989
1059,521679035,521685083,6048
1061,521686459,521896221,209762
1023,521897917,523069802,1171885
1020,523071594,524411256,1339662
1024,524412888,524566010,153122
1020,524567450,533494105,8926655
1025,533495705,533916990,421285
1026,533918270,538418062,4499792
1024,538419758,538572944,153186
1020,538574256,540578469,2004213
1059,540580134,540586054,5920
1061,540587494,540798088,210594
1023,540799432,541971797,1172365
1020,541973524,543313667,1340143
1024,543315363,543468420,153057
1020,543469892,552397220,8927328
1025,552398564,552820521,421957
1026,552821865,557321241,4499376
1024,557322841,557476091,153250
1020,557477627,559482096,2004469
1059,559484272,559490320,6048
1061,559491984,559702098,210114
1023,559703698,560876031,1172333
1020,560877503,562217742,1340239
1024,562219438,562372111,152673
1020,562373711,571299887,8926176
1025,571301551,571722387,420836
1026,571723987,576223844,4499857
1024,576225284,576378373,153089
1020,576379685,578383867,2004182
1059,578385563,578391579,6016
1061,578392891,578603101,210210
1023,578604413,579780490,1176077
1020,579782026,581121944,1339918
1024,581123640,581276122,152482
1020,581277786,590205146,8927360
1025,590206874,590627806,420932
1026,590629150,595128686,4499536
1024,595130350,595283184,152834
1020,595284816,597289958,2005142
1059,597291365,597297478,6113
1061,597299142,597509224,210082
1023,597510632,598687861,1177229
1020,598689236,600029411,1340175
1024,600031011,600184037,153026
1020,600185604,609114340,8928736
1025,609115780,609539593,423813
1026,609541225,614040825,4499600
1024,614042297,614196059,153762
1020,614197659,616202257,2004598
1059,616203888,616209840,5952
1061,616211280,616421715,210435
1023,616423091,617595199,1172108
1020,617596543,618935822,1339279
1024,618937262,619089775,152513
1020,619091183,628020495,8929312
1025,628021967,628444819,422852
1026,628446196,632948548,4502352
1027,632950180,633120998,170818
1028,633122342,633130438,8096
1029,633132134,633770349,638215
1030,633772045,633778157,6112
1073,633810669,633815821,5152
1075,633853710,634025200,171490
1077,634026863,634162609,135746
1079,634164401,634210033,45632
1081,634211410,634218450,7040
1083,634238738,634242194,3456
1085,634260370,634263826,3456
1053,634415027,634417972,2945
1042,634596630,634818744,222114
1020,634820376,636423369,1602993
1059,636425033,636431081,6048
1061,636432585,636591371,158786
1023,636592779,637498741,905962
1059,637500277,637505365,5088
1088,637506773,637517141,10368
1044,637518453,637569045,50592
1020,637570517,638642753,1072236
1045,638644481,638761986,117505
1020,638763298,645700205,6936907
1064,645566859,645569995,3136
1064,645578027,645580076,2049
1064,645581707,645583787,2080
1064,645597835,645600747,2912
1067,645602092,645605515,3423
1064,645606988,645609036,2048
1064,645617004,645619020,2016
1064,645621324,645623340,2016
1064,645636204,645639052,2848
1067,645640556,645644044,3488
1064,645645548,645647532,1984
1064,645655660,645657676,2016
1064,645660812,645662828,2016
1064,645676365,645679180,2815
1067,645681324,645684556,3232
1046,645701612,646019824,318212
1069,646012080,646016784,4704
1071,646030256,646033264,3008
1026,646030896,649630711,3599815
1045,649632279,649750840,118561
1020,649752152,651356041,1603889
1059,651357385,651363273,5888
1061,651364746,651522475,157729
1023,651523947,652413845,889898
1059,652415445,652420533,5088
1088,652422197,652432853,10656
1044,652434197,652486133,51936
1020,652487830,653559777,1071947
1045,653561153,653678690,117537
1020,653680322,660617613,6937291
1046,660618989,660936656,317667
1026,660938384,664538071,3599687
1045,664539703,664657976,118273
1020,664659384,666262793,1603409
1059,666264521,666270569,6048
1061,666272265,666430891,158626
1023,666432491,667334165,901674
1059,667335605,667340725,5120
1088,667342325,667352885,10560
1044,667354549,667405109,50560
1020,667406549,668478401,1071852
1045,668480161,668597538,117377
1020,668598850,675537261,6938411
1046,675538893,675856464,317571
1026,675857776,679457687,3599911
1045,679459382,679577624,118242
1020,679578936,681182601,1603665
1059,681184009,681190057,6048
1061,681191753,681349995,158242
1023,681351467,682240148,888681
1059,682241653,682247028,5375
1088,682248693,682259157,10464
1044,682260757,682313557,52800
1020,682315061,683386561,1071500
1045,683388129,683505250,117121
1020,683506882,690443980,6937098
1046,690445516,690764304,318788
1026,690765648,694366199,3600551
1045,694367639,694485560,117921
1020,694487128,696090057,1602929
1059,696091369,696097481,6112
1061,696099145,696256491,157346
1023,696258123,697157076,898953
1059,697158868,697164021,5153
1088,697165524,697175957,10433
1044,697177717,697229845,52128
1020,697231509,698302881,1071372
1045,698304481,698422818,118337
1020,698424418,705361132,6936714
1046,705362604,705681904,319300
1026,705683184,709283062,3599878
1045,709284790,709402680,117890
1020,709404152,711007593,1603441
1059,711009097,711014985,5888
1061,711016425,711174155,157730
1023,711175787,712073236,897449
1059,712074772,712079924,5152
1088,712081429,712091765,10336
1044,712093077,712146869,53792
1020,712148629,713220001,1071372
1045,713221697,713339362,117665
1020,713340962,720277484,6936522
1046,720279212,720598192,318980
1026,720599504,724198774,3599270
1045,724200086,724318360,118274
1020,724319800,725923113,1603313
1059,725924553,725930633,6080
1061,725931945,726090186,158241
1023,726091915,726985300,893385
1059,726987092,726992052,4960
1088,726993428,727003956,10528
1044,727005365,727056469,51104
1020,727058133,728129440,1071307
1045,728131105,728248130,117025
1020,728249762,735186316,6936554
1046,735187724,735505328,317604
1026,735506672,739106518,3599846
1045,739114774,739233304,118530
1020,739234744,740838633,1603889
1059,740840329,740846281,5952
1061,740847913,741006283,158370
1023,741007659,741916180,908521
1059,741917908,741923028,5120
1088,741924692,741935189,10497
1044,741936821,741988405,51584
1020,741989941,743060993,1071052
1045,743062305,743180002,117697
1020,743181378,750118604,6937226
1046,750120268,750436560,316292
1026,750437840,754038070,3600230
1045,754039670,754157144,117474
1020,754158680,755762217,1603537
1059,755763625,755769705,6080
1061,755771401,755929259,157858
1023,755930699,756836244,905545
1059,756837972,756843028,5056
1088,756844468,756854932,10464
1044,756856565,756909877,53312
1020,756911285,757983232,1071947
1045,757984929,758102722,117793
1020,758104226,765041676,6937450
1046,765043372,765362320,318948
1026,765364016,768963830,3599814
1045,768965206,769083224,118018
1020,769084504,770687881,1603377
1059,770689257,770695401,6144
1061,770697001,770855338,158337
1023,770856811,771745204,888393
1059,771746836,771751796,4960
1088,771753140,771763668,10528
1044,771765172,771816597,51425
1020,771818069,772889184,1071115
1045,772891169,773008865,117696
1020,773010145,779947948,6937803
1046,779949324,780267951,318627
1026,780269424,783869302,3599878
1045,783871030,783989463,118433
1020,783990903,785594184,1603281
1059,785595913,785601993,6080
1061,785603689,785761994,158305
1023,785763338,786659028,895690
1059,786660596,786665556,4960
1088,786666900,786677460,10560
1044,786678964,786731253,52289
1020,786732789,787804512,1071723
1045,787805920,787923586,117666
1020,787925090,794863404,6938314
1046,794864748,795182255,317507
1026,795183664,798783958,3600294
1045,798785590,798903927,118337
1020,798905559,800509352,1603793
1059,800510824,800516745,5921
1061,800518153,800675531,157378
1023,800676906,801574388,897482
1059,801576020,801581140,5120
1088,801582612,801593076,10464
1044,801594580,801646965,52385
1020,801648373,802720672,1072299
1045,802722176,802840130,117954
1020,802841474,809779468,6937994
1046,809781196,810097807,316611
1026,810099215,813699286,3600071
1045,813701014,813820087,119073
1020,813821783,815425352,1603569
1059,815426697,815432745,6048
1061,815434440,815592234,157794
1023,815593738,816491444,897706
1059,816493204,816498164,4960
1088,816499540,816510036,10496
1044,816511508,816563957,52449
1020,816565749,817637600,1071851
1045,817638880,817756801,117921
1020,817758209,824696620,6938411
1046,824697996,825015919,317923
1026,825017359,828617846,3600487
1045,828619606,828737335,117729
1020,828738679,830342216,1603537
1059,830343753,830349673,5920
1061,830351081,830509482,158401
1023,830510858,831409780,898922
1059,831411220,831416180,4960
1088,831417556,831428148,10592
1044,831429556,831479925,50369
1020,831481365,832553696,1072331
1045,832555392,832673217,117825
1020,832674849,839613004,6938155
1046,839614444,839932623,318179
1026,839934287,843534422,3600135
1045,843536086,843654487,118401
1020,843656471,845260232,1603761
1059,845261928,845268072,6144
1061,845269736,845428010,158274
1023,845429642,846320628,890986
1059,846322324,846327252,4928
1088,846328628,846339316,10688
1044,846341044,846392596,51552
1020,846394165,847466720,1072555
1045,847468064,847585377,117313
1020,847586849,854524396,6937547
1046,854526092,854844751,318659
1026,854846127,858446710,3600583
1045,858448150,858565815,117665
1020,858567479,860171176,1603697
1059,860172776,860178729,5953
1061,860180392,860338762,158370
1023,860340394,861232596,892202
1059,861234003,861238996,4993
1088,861240371,861250836,10465
1044,861252308,861303988,51680
1020,861305461,862377440,1071979
1045,862378880,862496033,117153
1020,862497313,869434508,6937195
1046,869435883,869752623,316740
1026,869754607,873354934,3600327
1045,873356502,873474871,118369
1020,873476567,875080200,1603633
1059,875081672,875087560,5888
1061,875089032,875247178,158146
1023,875248874,876147091,898217
1059,876148884,876153908,5024
1088,876155412,876165940,10528
1044,876167412,876217876,50464
1020,876219380,877290848,1071468
1045,877292608,877411329,118721
1020,877412737,884349484,6936747
1046,884351244,884669359,318115
1026,884670735,888270325,3599590
1045,888271765,888390135,118370
1020,888391799,889995304,1603505
1059,889996744,890002856,6112
1061,890004488,890162666,158178
1023,890164362,891058356,893994
1059,891060179,891065139,4960
1088,891066484,891077235,10751
1044,891078900,891130804,51904
1020,891132180,892203936,1071756
1045,892205248,892323105,117857
1020,892324577,899262604,6938027
1046,899264044,899581007,316963
1026,899582383,903182165,3599782
1045,903183893,903301527,117634
1020,903303031,904906312,1603281
1059,904908040,904914152,6112
1061,904915784,905074313,158529
1023,905075946,905977939,901993
1059,905979732,905984883,5151
1088,905986355,905996852,10497
1044,905998548,906049236,50688
1020,906050708,907122208,1071500
1045,907123904,907240993,117089
1020,907242337,914179595,6937258
1046,914181099,914496591,315492
1026,914498031,918097813,3599782
1045,918099413,918216823,117410
1020,918218455,919821832,1603377
1059,919823560,919829544,5984
1061,919830952,919988906,157954
1023,919990601,920882803,892202
1059,920884595,920889683,5088
1088,920891347,920901843,10496
1044,920903508,920956724,53216
1020,920958100,922029055,1070955
1045,922030367,922148449,118082
1020,922149857,929087627,6937770
1046,929089131,929407374,318243
1026,929409039,933009397,3600358
1045,933010741,933129846,119105
1020,933131542,934735432,1603890
1059,934737064,934743208,6144
1061,934744872,934903018,158146
1023,934904361,935795699,891338
1059,935797075,935802291,5216
1088,935803763,935814227,10464
1044,935815763,935866900,51137
1020,935868308,936940287,1071979
1045,936941951,937059905,117954
1020,937061249,943999339,6938090
1046,944000811,944318862,318051
1026,944320335,947920597,3600262
1045,947922005,948040182,118177
1020,948041846,949645224,1603378
1059,949646952,949652840,5888
1061,949654280,949812585,158305
1023,949814281,950712915,898634
1059,950714323,950719283,4960
1088,950720691,950731091,10400
1044,950732723,950782804,50081
1020,950784404,951855775,1071371
1045,951857279,951975649,118370
1020,951976993,958914443,6937450
1046,958915883,959234222,318339
1026,959235535,962835125,3599590
1045,962836437,962954167,117730
1020,962955830,964558823,1602993
1059,964560200,964566152,5952
1061,964567592,964725161,157569
1023,964726601,965629075,902474
1059,965630611,965635635,5024
1088,965637331,965647955,10624
1044,965649331,965700596,51265
1020,965701972,966773727,1071755
1045,966775135,966893664,118529
1020,966895104,973831979,6936875
1046,973833643,974151598,317955
1026,974153070,977752629,3599559
1045,977754357,977873558,119201
1020,977875062,979478343,1603281
1059,979479816,979485736,5920
1061,979487431,979645257,157826
1023,979646889,980546195,899306
1059,980547603,980552531,4928
1088,980553971,980564467,10496
1044,980565971,980617876,51905
1020,980619380,981691231,1071851
1045,981692927,981811137,118210
1020,981812480,988749547,6937067
1046,988751211,989068782,317571
1026,989070414,992671509,3601095
1045,992673109,992791542,118433
1020,992793270,994396967,1603697
1059,994398376,994404296,5920
1061,994405736,994563433,157697
1023,994564809,995461971,897162
1059,995463763,995468691,4928
1088,995470195,995480851,10656
1044,995482355,995534388,52033
1020,995536052,996607455,1071403
1045,996608959,996727520,118561
1020,996729248,1003667147,6937899
1046,1003668683,1003986030,317347
1026,1003987534,1007587637,3600103
1045,1007588949,1007706870,117921
1020,1007708278,1009311495,1603217
1059,1009312935,1009319079,6144
1061,1009320712,1009478665,157953
1023,1009480073,1010372851,892778
1059,1010374323,1010379283,4960
1088,1010380627,1010391187,10560
1044,1010392627,1010445716,53089
1020,1010447156,1011518623,1071467
1045,1011520191,1011637600,117409
1020,1011638944,1018576875,6937931
1046,1018578539,1018896558,318019
1026,1018898094,1022498165,3600071
1045,1022499541,1022617974,118433
1020,1022619574,1024223143,1603569
1059,1024224519,1024230631,6112
1061,1024232295,1024391049,158754
1023,1024392745,1025295155,902410
1059,1025296723,1025301651,4928
1088,1025303059,1025313779,10720
1044,1025315507,1025367252,51745
1020,1025368852,1026439743,1070891
1045,1026441183,1026558848,117665
1020,1026560320,1033498315,6937995
1046,1033500011,1033818638,318627
1026,1033820366,1037420117,3599751
1045,1037421525,1037540150,118625
1020,1037541910,1039145319,1603409
1059,1039146759,1039152871,6112
1061,1039154535,1039312137,157602
1023,1039313865,1040203955,890090
1059,1040205459,1040210419,4960
1088,1040211730,1040222515,10785
1044,1040223891,1040276531,52640
1020,1040278195,1041349823,1071628
1045,1041351231,1041468608,117377
1020,1041470016,1048407050,6937034
1046,1048408779,1048727054,318275
1026,1048728686,1052328661,3599975
1045,1052330036,1052448918,118882
1020,1052450518,1054054311,1603793
1059,1054055943,1054061831,5888
1061,1054063303,1054221417,158114
1023,1054222793,1055121618,898825
1059,1055123187,1055128275,5088
1088,1055129938,1055140467,10529
1044,1055141939,1055192563,50624
1020,1055193939,1056265727,1071788
1045,1056267071,1056385920,118849
1020,1056387552,1063324458,6936906
1046,1063325898,1063643086,317188
1026,1063644558,1067244661,3600103
1045,1067246357,1067363990,117633
1020,1067365622,1068969063,1603441
1059,1068970791,1068976775,5984
1061,1068978151,1069136169,158018
1023,1069137801,1070031155,893354
1059,1070032915,1070038291,5376
1088,1070040018,1070050419,10401
1044,1070052051,1070103283,51232
1020,1070104723,1071176095,1071372
1045,1071177567,1071295136,117569
1020,1071296480,1078233738,6937258
1046,1078235498,1078554446,318948
1026,1078555822,1082155092,3599270
1045,1082156500,1082274294,117794
1020,1082275830,1083879335,1603505
1059,1083880711,1083886823,6112
1061,1083888487,1084046441,157954
1023,1084047945,1084953682,905737
1059,1084955122,1084960082,4960
1088,1084961427,1084971922,10495
1044,1084973395,1085024435,51040
1020,1085025843,1086097439,1071596
1045,1086098847,1086216704,117857
1020,1086218272,1093155786,6937514
1046,1093157419,1093474862,317443
1026,1093476590,1097076565,3599975
1045,1097078260,1097196310,118050
1020,1097197622,1098801447,1603825
1059,1098802823,1098808807,5984
1061,1098810503,1098968745,158242
1023,1098970441,1099866034,895593
1059,1099867442,1099872370,4928
1088,1099873842,1099884498,10656
1044,1099886227,1099937331,51104
1020,1099938771,1101010207,1071436
1045,1101011615,1101128960,117345
1020,1101130624,1108068810,6938186
1046,1108070410,1108387470,317060
1026,1108388846,1111989524,3600678
1047,1111990932,1112120854,129922
1028,1112122262,1112130390,8128
1029,1112131798,1112765629,633831
1030,1112767357,1112775421,8064
1073,1112805917,1112812029,6112
1075,1112840061,1113012767,172706
1077,1113014143,1113150017,135874
1079,1113151521,1113198049,46528
1081,1113199393,1113206369,6976
1083,1113226817,1113230274,3457
1085,1113248450,1113251938,3488
1053,1113471940,1113474916,2976
1042,1113718247,1113940905,222658
1020,1113942249,1115545530,1603281
1059,1115547098,1115553018,5920
1061,1115554459,1115713212,158753
1023,1115714908,1116602534,887626
1059,1116604070,1116609030,4960
1088,1116610406,1116621926,11520
1044,1116623366,1116696455,73089
1020,1116698343,1117770226,1071883
1045,1117771570,1117889331,117761
1020,1117890900,1124828670,6937770
1064,1124695325,1124698333,3008
1064,1124705565,1124707645,2080
1064,1124709053,1124711133,2080
1064,1124725213,1124728285,3072
1067,1124729853,1124733309,3456
1064,1124735485,1124737533,2048
1064,1124744285,1124746365,2080
1064,1124748861,1124750909,2048
1064,1124764125,1124767133,3008
1067,1124768509,1124772221,3712
1064,1124773981,1124776061,2080
1064,1124783453,1124785501,2048
1064,1124787549,1124789597,2048
1064,1124804158,1124807166,3008
1067,1124808510,1124811838,3328
1046,1124830398,1125152065,321667
1069,1125141633,1125146145,4512
1071,1125158690,1125161793,3103
1026,1125159458,1128759464,3600006
1045,1128760968,1128878282,117314
1020,1128879722,1130483579,1603857
1059,1130485050,1130491098,6048
1061,1130492507,1130651197,158690
1023,1130652572,1131550086,897514
1059,1131551750,1131556870,5120
1088,1131558566,1131570598,12032
